dataset,reader,K,rotation,negative_type,source_filename,canonical_slice_identifier,case_count,DE_count,PR_count,RH_count,source_sha256
feta,claude-haiku-4-5,10,end,soft,claude-haiku-4-5_K10_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K10_soft_perfect_to_fail_errors,752,628,83,41,5cf7083de62b99b69883f3bd4e72f39810384a458ba9d903644d28e0f3e47238
feta,claude-haiku-4-5,50,end,hard,claude-haiku-4-5_K50_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K50_hard_perfect_to_fail_errors,1736,1715,16,5,d2e2b9756794054970bb1b89df7ac6891c68172654243a097e372a8fbecb4034
feta,claude-haiku-4-5,50,end,soft,claude-haiku-4-5_K50_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K50_soft_perfect_to_fail_errors,1194,1186,5,3,1317e9d3262b8c570997e5bfb5d3e8824b25149cefc4c154a2679932ce90f4be
feta,claude-haiku-4-5,5,end,hard,claude-haiku-4-5_K5_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K5_hard_perfect_to_fail_errors,1147,977,99,71,f910a9ba5731ed7a09d7a33b574a6682ba33bb2a3fcf37d6ec2b049142d49336
feta,claude-haiku-4-5,5,end,soft,claude-haiku-4-5_K5_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K5_soft_perfect_to_fail_errors,524,318,121,85,1a033fbc9823a98b68c58b664682721c7f33d4c9ca528548cca516c7d5dc406d
feta,gpt-4o,10,end,hard,gpt-4o_K10_hard_perfect_to_fail_errors.json,gpt-4o_K10_hard_perfect_to_fail_errors,834,714,35,85,8fe30cef073e47fde7b312544de8fbaab1b9f1e52fcf19822891572109da74b3
feta,gpt-4o,10,end,soft,gpt-4o_K10_soft_perfect_to_fail_errors.json,gpt-4o_K10_soft_perfect_to_fail_errors,281,221,14,46,63d7e5276db97a95493f1f61222633acebd39c309dc2fed61cfa0769488f09d3
feta,gpt-4o,50,end,hard,gpt-4o_K50_hard_perfect_to_fail_errors.json,gpt-4o_K50_hard_perfect_to_fail_errors,1030,1014,4,12,7481bbdc0e9b04748d8519a2f78dd699c664c58e05db8814521a80996862a19a
feta,gpt-4o,50,end,soft,gpt-4o_K50_soft_perfect_to_fail_errors.json,gpt-4o_K50_soft_perfect_to_fail_errors,467,458,1,8,2ca9f06f3595c166492c88afaa6203c1dde842765537f4ce631a4a4f41855786
feta,gpt-4o,5,end,hard,gpt-4o_K5_hard_perfect_to_fail_errors.json,gpt-4o_K5_hard_perfect_to_fail_errors,677,537,38,102,c0423799e56704db0f0b33862f9ec45c3e59e5b6ef8824397e8d0c68618dc7a4
feta,gpt-4o,5,end,soft,gpt-4o_K5_soft_perfect_to_fail_errors.json,gpt-4o_K5_soft_perfect_to_fail_errors,249,107,30,112,13d762e4784604d737f16b8ab7f4044076a1a3048d880c810b12b2dfc13542dc
feta,gpt-oss-20b,10,end,hard,gpt-oss-20b_K10_hard_perfect_to_fail_errors.json,gpt-oss-20b_K10_hard_perfect_to_fail_errors,1458,963,19,476,19e6488ce2836013fe119c34729355b4125b0fb496cf15d3506cfd20a9f4641b
feta,gpt-oss-20b,10,end,soft,gpt-oss-20b_K10_soft_perfect_to_fail_errors.json,gpt-oss-20b_K10_soft_perfect_to_fail_errors,838,551,9,278,14fd3a92a2b7817ebae022439d0a969410bf5e94617dbe02e4688217059b4885
feta,gpt-oss-20b,50,end,hard,gpt-oss-20b_K50_hard_perfect_to_fail_errors.json,gpt-oss-20b_K50_hard_perfect_to_fail_errors,1560,1429,3,128,a3d44f401c78fb62fd15204a066282fccf94253e5bb6d4d47748c7dbc076060e
feta,gpt-oss-20b,50,end,soft,gpt-oss-20b_K50_soft_perfect_to_fail_errors.json,gpt-oss-20b_K50_soft_perfect_to_fail_errors,990,940,1,49,f1686fb5719f984e808aef1c124e3c44ce166a8e624cd14a47054e482ceb8ad1
feta,gpt-oss-20b,5,end,hard,gpt-oss-20b_K5_hard_perfect_to_fail_errors.json,gpt-oss-20b_K5_hard_perfect_to_fail_errors,1312,733,23,556,adbcfce9b5b91e28d5a2c9859bfb7468efacefad5829227d107adf63b4e7d3c1
feta,gpt-oss-20b,5,end,soft,gpt-oss-20b_K5_soft_perfect_to_fail_errors.json,gpt-oss-20b_K5_soft_perfect_to_fail_errors,705,325,22,358,0fc317d99fe61099499bce64a7932244c7af5ae78c8c456fef521cc66d6134d7
feta,qwen3-32b,10,end,hard,qwen3-32b_K10_hard_perfect_to_fail_errors.json,qwen3-32b_K10_hard_perfect_to_fail_errors,1196,1033,58,105,c0f6ca3ad2b5d8ad13caf171c76ef63500980d0cf90cd2dfd7c90b6c5adc5f2c
feta,qwen3-32b,10,end,soft,qwen3-32b_K10_soft_perfect_to_fail_errors.json,qwen3-32b_K10_soft_perfect_to_fail_errors,449,353,38,58,0210663c3fb2706217649c3b89f139fe4f9e4f018159d706ff7443be61f95f07
feta,qwen3-32b,50,end,hard,qwen3-32b_K50_hard_perfect_to_fail_errors.json,qwen3-32b_K50_hard_perfect_to_fail_errors,1721,1682,21,18,2ffe1e9082f4dbd1f02742c424c3a72b6a625e26fa5994f0fc85fe377980eb07
feta,qwen3-32b,50,end,soft,qwen3-32b_K50_soft_perfect_to_fail_errors.json,qwen3-32b_K50_soft_perfect_to_fail_errors,1007,998,5,4,ec76b41a64dc097ede67cd14a05b95cc9da646261b5531cd67e4dd016e7f05bd
feta,qwen3-32b,5,end,hard,qwen3-32b_K5_hard_perfect_to_fail_errors.json,qwen3-32b_K5_hard_perfect_to_fail_errors,970,797,58,115,1696de6d81e06ed566132dd725f2501c513f7db4f2bf0f4c2df04f6516e9b032
feta,qwen3-32b,5,end,soft,qwen3-32b_K5_soft_perfect_to_fail_errors.json,qwen3-32b_K5_soft_perfect_to_fail_errors,405,216,71,118,866f43a4b0a65b00ca153c2d2178b756ecb2228897e98b89aef1de7889161516
ottqa,claude-haiku-4-5,20,end,hard,claude-haiku-4-5_K20_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K20_hard_perfect_to_fail_errors,450,445,3,2,17868ad5d6cb35be68ac67fd754badb3e8e32b90191460ab990d7bad14cd6c52
ottqa,claude-haiku-4-5,20,end,soft,claude-haiku-4-5_K20_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K20_soft_perfect_to_fail_errors,395,376,12,7,ebf79ef232c811a5af098bf59c88cc4535fa274831855541ee11ecbcd65c11d0
ottqa,claude-haiku-4-5,50,end,hard,claude-haiku-4-5_K50_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K50_hard_perfect_to_fail_errors,449,449,0,0,ceb625fdff299801221092510042ee691b779bc9cb329e5be502729687e70877
ottqa,claude-haiku-4-5,50,end,soft,claude-haiku-4-5_K50_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K50_soft_perfect_to_fail_errors,400,398,1,1,718c5797678f7cb959f21534a2b28a1d612353d884084aa7497b6d5634748a00
ottqa,claude-haiku-4-5,5,end,hard,claude-haiku-4-5_K5_hard_perfect_to_fail_errors.json,claude-haiku-4-5_K5_hard_perfect_to_fail_errors,435,300,70,65,f6c12b5e96fc5e426509a1a746cff4e627fa3b3ca8b5ab10f1658ff79a0ab61a
ottqa,claude-haiku-4-5,5,end,soft,claude-haiku-4-5_K5_soft_perfect_to_fail_errors.json,claude-haiku-4-5_K5_soft_perfect_to_fail_errors,446,231,118,97,155b9ad46b41f464487190ac32b73da5ad002d996184874fce748e52f6f1fdde
ottqa,gpt-4o,20,end,hard,gpt-4o_K20_hard_perfect_to_fail_errors.json,gpt-4o_K20_hard_perfect_to_fail_errors,614,572,12,30,e47138edb8fd648f1c5099aab4ac8ec9700c96bbd8d6ffcceaaf07a57ab75feb
ottqa,gpt-4o,20,end,soft,gpt-4o_K20_soft_perfect_to_fail_errors.json,gpt-4o_K20_soft_perfect_to_fail_errors,661,598,30,33,ec34630b35d4382a736e576cf5f1092257f126ba26041b87b7a1815a0104ee25
ottqa,gpt-4o,50,end,hard,gpt-4o_K50_hard_perfect_to_fail_errors.json,gpt-4o_K50_hard_perfect_to_fail_errors,633,627,1,5,2c7ba943e86a005d9774b0a1113769080e7d01ce4ec840e2f15e110051f13ba7
ottqa,gpt-4o,50,end,soft,gpt-4o_K50_soft_perfect_to_fail_errors.json,gpt-4o_K50_soft_perfect_to_fail_errors,682,669,7,6,6f47d0cdc4c4009d3e7be270a760fba1303b4cf3e1727544ef56bc03d4ecdf29
ottqa,gpt-4o,5,end,hard,gpt-4o_K5_hard_perfect_to_fail_errors.json,gpt-4o_K5_hard_perfect_to_fail_errors,517,324,68,125,88bb17f3379cf69a5ff459091d708d139e20d4e73c86b04f477d40b2a4197689
ottqa,gpt-4o,5,end,soft,gpt-4o_K5_soft_perfect_to_fail_errors.json,gpt-4o_K5_soft_perfect_to_fail_errors,525,220,126,179,0a6feee2639fb8c0983e3b4e58fbef3f72996c6bf1ea876c6a398c868d71d27c
ottqa,gpt-oss-20b,20,end,hard,gpt-oss-20b_K20_hard_perfect_to_fail_errors.json,gpt-oss-20b_K20_hard_perfect_to_fail_errors,644,504,6,134,5b59f2509884b79bb1cafa3419fb25d8411bf7ad54224b0dcb56e79190541406
ottqa,gpt-oss-20b,20,end,soft,gpt-oss-20b_K20_soft_perfect_to_fail_errors.json,gpt-oss-20b_K20_soft_perfect_to_fail_errors,583,402,3,178,97756f26a674e1a1b207e42eb646518ce308e96cb097ed5f397c8ce4b4a643fe
ottqa,gpt-oss-20b,50,end,hard,gpt-oss-20b_K50_hard_perfect_to_fail_errors.json,gpt-oss-20b_K50_hard_perfect_to_fail_errors,560,484,0,76,9af457486f68a0d406fc2f8109d29819e853552b712dc802a8a558b9eb0ac022
ottqa,gpt-oss-20b,50,end,soft,gpt-oss-20b_K50_soft_perfect_to_fail_errors.json,gpt-oss-20b_K50_soft_perfect_to_fail_errors,523,409,4,110,1ea65ea6b1e6205d110b4017a0a4b2ac812cc61f6a9f773acce7fb0afd40029a
ottqa,gpt-oss-20b,5,end,hard,gpt-oss-20b_K5_hard_perfect_to_fail_errors.json,gpt-oss-20b_K5_hard_perfect_to_fail_errors,510,227,12,271,bb39867cc9e10c587e7464783af3bbe90139ccc5c030d05a1d11bcac02a93b5c
ottqa,gpt-oss-20b,5,end,soft,gpt-oss-20b_K5_soft_perfect_to_fail_errors.json,gpt-oss-20b_K5_soft_perfect_to_fail_errors,544,182,12,350,80ba2d090db2b5091a8196253f007cec8ef3b1828d2ab4a872edcd71fa9b96fe
ottqa,qwen3-32b,20,end,hard,qwen3-32b_K20_hard_perfect_to_fail_errors.json,qwen3-32b_K20_hard_perfect_to_fail_errors,523,501,5,17,c780ced0a09bcfa0e00960ab44aec2165c038b3f886087aa50fb3f0d7648a0f1
ottqa,qwen3-32b,20,end,soft,qwen3-32b_K20_soft_perfect_to_fail_errors.json,qwen3-32b_K20_soft_perfect_to_fail_errors,535,497,14,24,ca4c81d0899665e378cd462eff6e58327cfca25b6dba49bc49f7954bdc11279f
ottqa,qwen3-32b,50,end,hard,qwen3-32b_K50_hard_perfect_to_fail_errors.json,qwen3-32b_K50_hard_perfect_to_fail_errors,564,563,0,1,3fc1cebcf313a3e2340039985fb14c88fd673670337592c3dfe9ba4cab04c559
ottqa,qwen3-32b,50,end,soft,qwen3-32b_K50_soft_perfect_to_fail_errors.json,qwen3-32b_K50_soft_perfect_to_fail_errors,543,540,1,2,f33aece3cab465a48fe871023adeccb33ac51526f90be6d53c5a36a78fc1b247
ottqa,qwen3-32b,5,end,hard,qwen3-32b_K5_hard_perfect_to_fail_errors.json,qwen3-32b_K5_hard_perfect_to_fail_errors,469,312,46,111,a2c7f12a0e28e594782bbfac7b6fc0be6b9fb94340f29f08b33d0feca4c38913
ottqa,qwen3-32b,5,end,soft,qwen3-32b_K5_soft_perfect_to_fail_errors.json,qwen3-32b_K5_soft_perfect_to_fail_errors,466,229,74,163,4a384481eaff619388e8e76e8e25ede10102bcfacf8af62e277cd651ae7cf18b
